Week,Fertilizer added (cubic feet),Fertilizer Measured,"Mulch added 
(inches)",Mulch Measured,Rain,"Watering
(gallons)",Nutrition Lvl,Moisture,Temp,Weekly_Yield,Orchard,Location,Cost of Labor,Total Trees,Total Watered,Trees Planted,Total_Yield,"Material_Cost_Mulch 
(5*Total Trees*
mulch per tree)","Application_Cost_Mulch
(0.5 * Cost of Labor *total trees
 *Mulch Applied Boolean value)","Material_Cost_Fertilizer
(5*Total Trees*
Fertilizer per tree)","Application_Cost_Fert(1/8 hrs)
(0.125 * Cost of Labor *total trees
 *Fertilizer Applied Boolean value)","Cost_Water 
(0.10*Total Trees*
Gallons per tree)","Total_Yield_Revenue
($0.25 *total Yield)","Total Cost 
(Material Cost +Application Cost)","Total Profit in $
(Total Revenue- 
Total Cost)"
18,,0.00,,3.45,0.34,,94,83,75,96,Outgrowth Orchards,Sacramento,10,208,90,2,19968,0,0,0,0,0,4992,0,4992
19,,0.00,,3.30,0.29,10,92,81,76,93,Outgrowth Orchards,Sacramento,10,208,100,0,19344,0,0,0,0,208,4836,208,4628
20,,0.00,,3.15,0.25,,89,81,78,89,Outgrowth Orchards,Sacramento,10,208,100,0,18512,0,0,0,0,0,4628,0,4628
21,,0.00,,3.00,0.21,10,86,79,79,86,Outgrowth Orchards,Sacramento,10,208,110,0,17888,0,0,0,0,208,4472,208,4264
22,,0.00,,2.85,0.17,,84,80,81,93,Outgrowth Orchards,Sacramento,10,208,110,0,19344,0,0,0,0,0,4836,0,4836
23,,0.00,,2.70,0.13,10,80,77,82,83,Outgrowth Orchards,Sacramento,10,208,120,0,17264,0,0,0,0,208,4316,208,4108
24,,0.00,,2.55,0.10,,77,77,83,85,Outgrowth Orchards,Sacramento,10,208,120,0,17680,0,0,0,0,0,4420,0,4420
25,,0.00,,2.40,0.07,10,74,75,85,86,Outgrowth Orchards,Sacramento,10,208,130,0,17888,0,0,0,0,208,4472,208,4264
26,,0.00,,2.25,0.05,,70,75,86,74,Outgrowth Orchards,Sacramento,10,208,130,0,15392,0,0,0,0,0,3848,0,3848
27,,0.00,4,6.10,0.03,10,67,72,87,77,Outgrowth Orchards,Sacramento,10,208,140,0,16016,4160,1040,0,0,208,4004,5408,-1404
28,,0.00,,5.95,0.01,,67,74,88,77,Outgrowth Orchards,Sacramento,10,208,140,0,16016,0,0,0,0,0,4004,0,4004
29,,0.00,,5.80,0.00,10,68,73,88,78,Outgrowth Orchards,Sacramento,10,208,150,0,16224,0,0,0,0,208,4056,208,3848
30,,0.00,,5.65,-0.01,,68,75,89,80,Outgrowth Orchards,Sacramento,10,208,150,0,16640,0,0,0,0,0,4160,0,4160
31,,0.00,,5.50,-0.01,10,68,75,89,73,Outgrowth Orchards,Sacramento,10,232,160,24,16936,0,0,0,0,232,4234,232,4002
32,,0.00,,5.35,-0.01,,69,76,90,77,Outgrowth Orchards,Sacramento,10,232,160,0,17864,0,0,0,0,0,4466,0,4466
33,,0.00,,5.20,-0.01,10,69,76,90,82,Outgrowth Orchards,Sacramento,10,270,170,38,22140,0,0,0,0,270,5535,270,5265
34,,0.00,,5.05,0.00,,69,77,90,77,Outgrowth Orchards,Sacramento,10,270,170,0,20790,0,0,0,0,0,5197.5,0,5197.5
35,,0.00,,4.90,0.02,10,69,76,90,72,Outgrowth Orchards,Sacramento,10,270,180,0,19440,0,0,0,0,270,4860,270,4590
36,,0.00,,4.75,0.04,,70,77,89,84,Outgrowth Orchards,Sacramento,10,270,180,0,22680,0,0,0,0,0,5670,0,5670
37,,0.00,,4.60,0.07,10,69,76,89,75,Outgrowth Orchards,Sacramento,10,270,190,0,20250,0,0,0,0,270,5062.5,270,4792.5
38,,0.00,,4.45,0.10,,70,77,88,85,Outgrowth Orchards,Sacramento,10,270,190,0,22950,0,0,0,0,0,5737.5,0,5737.5
39,,0.00,,4.30,0.13,10,69,76,87,80,Outgrowth Orchards,Sacramento,10,270,200,0,21600,0,0,0,0,270,5400,270,5130
40,,0.00,,4.15,0.17,,69,77,86,86,Outgrowth Orchards,Sacramento,10,270,200,0,23220,0,0,0,0,0,5805,0,5805
41,,0.00,,4.00,0.22,10,69,75,84,84,Outgrowth Orchards,Sacramento,10,270,210,0,22680,0,0,0,0,270,5670,270,5400
42,,0.00,,3.85,0.26,,68,76,83,89,Outgrowth Orchards,Sacramento,10,270,210,0,24030,0,0,0,0,0,6007.5,0,6007.5
43,,0.00,,3.70,0.32,10,67,74,81,82,Outgrowth Orchards,Sacramento,10,270,220,0,22140,0,0,0,0,270,5535,270,5265
44,,0.00,,3.55,0.37,,66,75,78,79,Outgrowth Orchards,Sacramento,10,270,220,0,21330,0,0,0,0,0,5332.5,0,5332.5
45,,0.00,,3.40,0.43,10,66,73,76,82,Outgrowth Orchards,Sacramento,10,270,230,0,22140,0,0,0,0,270,5535,270,5265
46,,0.00,,3.25,0.50,,64,74,73,79,Outgrowth Orchards,Sacramento,10,270,230,0,21330,0,0,0,0,0,5332.5,0,5332.5
47,,0.00,,3.10,0.56,10,63,72,70,69,Outgrowth Orchards,Sacramento,10,270,240,0,18630,0,0,0,0,270,4657.5,270,4387.5
48,,0.00,,2.95,0.63,,62,72,67,75,Outgrowth Orchards,Sacramento,10,270,240,0,20250,0,0,0,0,0,5062.5,0,5062.5
49,,0.00,,2.80,0.70,10,60,70,63,65,Outgrowth Orchards,Sacramento,10,270,250,0,17550,0,0,0,0,270,4387.5,270,4117.5
50,,0.00,,2.65,0.78,,60,71,59,56,Outgrowth Orchards,Sacramento,10,270,250,0,15120,0,0,0,0,0,3780,0,3780
51,,0.00,,2.50,0.85,10,59,69,55,48,Outgrowth Orchards,Sacramento,10,270,260,0,12960,0,0,0,0,270,3240,270,2970
52,,0.00,,2.35,0.93,,59,70,51,35,Outgrowth Orchards,Sacramento,10,270,260,0,9450,0,0,0,0,0,2362.5,0,2362.5
1,,0,6,6.00,1.07,10,75,75,59,57,Organic Gardens,SF,20,10,10,10,570,300,100,0,0,10,142.5,410,-267.5
2,,0.00,,5.92,1.09,,77,77,50,42,Organic Gardens,SF,20,40,10,30,1680,0,0,0,0,0,420,0,420
3,,0.00,,5.85,1.09,10,81,77,52,41,Organic Gardens,SF,20,80,20,40,3280,0,0,0,0,80,820,80,740
4,,0.00,,5.77,1.09,,85,79,53,48,Organic Gardens,SF,20,100,20,20,4800,0,0,0,0,0,1200,0,1200
5,,0.00,,5.69,1.07,10,88,79,54,53,Organic Gardens,SF,20,120,30,20,6360,0,0,0,0,120,1590,120,1470
6,,0.00,,5.62,1.04,,91,81,55,57,Organic Gardens,SF,20,120,30,0,6840,0,0,0,0,0,1710,0,1710
7,,0.00,,5.54,1.01,10,93,80,57,58,Organic Gardens,SF,20,120,40,0,6960,0,0,0,0,120,1740,120,1620
8,,0.00,,5.46,0.97,,95,82,58,63,Organic Gardens,SF,20,120,40,0,7560,0,0,0,0,0,1890,0,1890
9,,0.00,,5.38,0.93,10,97,82,60,75,Organic Gardens,SF,20,120,50,0,9000,0,0,0,0,120,2250,120,2130
10,,0.00,,5.31,0.88,,98,84,61,67,Organic Gardens,SF,20,120,50,0,8040,0,0,0,0,0,2010,0,2010
11,,0.00,,5.23,0.83,10,99,83,63,83,Organic Gardens,SF,20,120,60,0,9960,0,0,0,0,120,2490,120,2370
12,,0.00,,5.15,0.77,,99,85,65,76,Organic Gardens,SF,20,120,60,0,9120,0,0,0,0,0,2280,0,2280
13,,0.00,,5.08,0.71,10,99,84,66,82,Organic Gardens,SF,20,120,70,0,9840,0,0,0,0,120,2460,120,2340
14,,0.00,,5.00,0.65,,99,86,68,78,Organic Gardens,SF,20,120,70,0,9360,0,0,0,0,0,2340,0,2340
15,,0.00,,4.92,0.59,10,99,85,70,79,Organic Gardens,SF,20,120,80,0,9480,0,0,0,0,120,2370,120,2250
16,,0.00,,4.85,0.53,,99,87,71,83,Organic Gardens,SF,20,120,80,0,9960,0,0,0,0,0,2490,0,2490
17,,0.00,,4.77,0.47,10,99,86,73,86,Organic Gardens,SF,20,120,90,0,10320,0,0,0,0,120,2580,120,2460
18,,0.00,,4.69,0.41,,98,87,75,94,Organic Gardens,SF,20,120,90,0,11280,0,0,0,0,0,2820,0,2820
19,,0.00,,4.62,0.35,10,97,86,76,90,Organic Gardens,SF,20,120,100,0,10800,0,0,0,0,120,2700,120,2580
20,,0.00,,4.54,0.29,,96,87,78,98,Organic Gardens,SF,20,120,100,0,11760,0,0,0,0,0,2940,0,2940
21,,0.00,,4.46,0.24,10,94,86,79,93,Organic Gardens,SF,20,120,110,0,11160,0,0,0,0,120,2790,120,2670
22,,0.00,,4.38,0.19,,93,87,81,82,Organic Gardens,SF,20,120,110,0,9840,0,0,0,0,0,2460,0,2460
23,,0.00,,4.31,0.14,10,93,86,82,91,Organic Gardens,SF,20,120,120,0,10920,0,0,0,0,120,2730,120,2610
24,,0.00,,4.23,0.10,,91,87,83,90,Organic Gardens,SF,20,120,120,0,10800,0,0,0,0,0,2700,0,2700
25,,0.00,,4.15,0.06,10,90,86,85,87,Organic Gardens,SF,20,120,130,0,10440,0,0,0,0,120,2610,120,2490
26,,0.00,,4.08,0.03,,90,86,86,83,Organic Gardens,SF,20,120,130,0,9960,0,0,0,0,0,2490,0,2490
27,,0.00,4,4.00,0.00,10,89,85,87,84,Organic Gardens,SF,20,120,140,0,10080,2400,1200,0,0,120,2520,3720,-1200
28,,0.00,,3.92,-0.02,,89,86,88,85,Organic Gardens,SF,20,120,140,0,10200,0,0,0,0,0,2550,0,2550
29,,0.00,,3.85,-0.04,10,88,84,88,81,Organic Gardens,SF,20,120,150,0,9720,0,0,0,0,120,2430,120,2310
30,,0.00,,3.77,-0.05,,88,84,89,85,Organic Gardens,SF,20,120,150,0,10200,0,0,0,0,0,2550,0,2550
31,,0.00,,3.69,-0.06,10,87,82,89,89,Organic Gardens,SF,20,120,160,0,10680,0,0,0,0,120,2670,120,2550
32,,0.00,,3.62,-0.06,,85,83,90,81,Organic Gardens,SF,20,120,160,0,9720,0,0,0,0,0,2430,0,2430
33,,0.00,,3.54,-0.05,10,85,81,90,85,Organic Gardens,SF,20,120,170,0,10200,0,0,0,0,120,2550,120,2430
34,,0.00,,3.46,-0.04,,83,81,90,86,Organic Gardens,SF,20,120,170,0,10320,0,0,0,0,0,2580,0,2580
35,,0.00,,3.38,-0.02,10,81,79,90,84,Organic Gardens,SF,20,120,180,0,10080,0,0,0,0,120,2520,120,2400
36,,0.00,,3.31,0.00,,80,79,89,80,Organic Gardens,SF,20,120,180,0,9600,0,0,0,0,0,2400,0,2400
37,,0.00,,3.23,0.03,10,78,77,89,85,Organic Gardens,SF,20,120,190,0,10200,0,0,0,0,120,2550,120,2430
38,,0.00,,3.15,0.07,,76,77,88,91,Organic Gardens,SF,20,160,190,40,14560,0,0,0,0,0,3640,0,3640
39,,0.00,,3.08,0.11,10,74,75,87,87,Organic Gardens,SF,20,229,200,69,19923,0,0,0,0,229,4980.75,229,4751.75
40,,0.00,,3.00,0.16,,71,75,86,81,Organic Gardens,SF,20,229,200,0,18549,0,0,0,0,0,4637.25,0,4637.25
41,,0.00,,2.92,0.22,10,69,73,84,74,Organic Gardens,SF,20,229,210,0,16946,0,0,0,0,229,4236.5,229,4007.5
42,,0.00,,2.85,0.28,,67,73,83,87,Organic Gardens,SF,20,229,210,0,19923,0,0,0,0,0,4980.75,0,4980.75
43,,0.00,,2.77,0.34,10,64,71,81,79,Organic Gardens,SF,20,229,220,0,18091,0,0,0,0,229,4522.75,229,4293.75
44,,0.00,,2.69,0.42,,62,71,78,73,Organic Gardens,SF,20,229,220,0,16717,0,0,0,0,0,4179.25,0,4179.25
45,,0.00,,2.62,0.49,10,60,68,76,73,Organic Gardens,SF,20,229,230,0,16717,0,0,0,0,229,4179.25,229,3950.25
46,,0.00,,2.54,0.57,,58,69,73,66,Organic Gardens,SF,20,229,230,0,15114,0,0,0,0,0,3778.5,0,3778.5
47,,0.00,,2.46,0.66,10,57,66,70,61,Organic Gardens,SF,20,229,240,0,13969,0,0,0,0,229,3492.25,229,3263.25
48,,0.00,,2.38,0.75,,55,67,67,52,Organic Gardens,SF,20,229,240,0,11908,0,0,0,0,0,2977,0,2977
49,,0.00,,2.31,0.84,10,55,64,63,60,Organic Gardens,SF,20,229,250,0,13740,0,0,0,0,229,3435,229,3206
50,,0.00,,2.23,0.93,,54,65,59,46,Organic Gardens,SF,20,229,250,0,10534,0,0,0,0,0,2633.5,0,2633.5
51,,0.00,,2.15,1.03,10,53,63,55,37,Organic Gardens,SF,20,229,260,0,8473,0,0,0,0,229,2118.25,229,1889.25
52,,0.00,,2.08,1.13,,54,64,51,27,Organic Gardens,SF,20,229,260,0,6183,0,0,0,0,0,1545.75,0,1545.75
1,,0,6,6.00,0.01,10,75,75,60,66,Frugal Farms,LA,16,10,10,10,660,300,80,0,0,10,165,390,-225
2,,0.00,,5.85,-0.01,,76,77,50,45,Frugal Farms,LA,16,40,10,30,1800,0,0,0,0,0,450,0,450
3,,0.00,,5.70,-0.02,10,80,77,52,42,Frugal Farms,LA,16,70,20,30,2940,0,0,0,0,70,735,70,665
4,,0.00,,5.55,-0.03,,84,79,53,48,Frugal Farms,LA,16,70,20,0,3360,0,0,0,0,0,840,0,840
5,,0.00,,5.40,-0.02,10,87,79,54,46,Frugal Farms,LA,16,100,30,30,4600,0,0,0,0,100,1150,100,1050
6,,0.00,,5.25,-0.01,,90,81,55,59,Frugal Farms,LA,16,130,30,30,7670,0,0,0,0,0,1917.5,0,1917.5
7,,0.00,,5.10,0.00,10,92,80,57,56,Frugal Farms,LA,16,140,40,10,7840,0,0,0,0,140,1960,140,1820
8,,0.00,,4.95,0.02,,95,82,58,65,Frugal Farms,LA,16,140,40,0,9100,0,0,0,0,0,2275,0,2275
9,,0.00,,4.80,0.04,10,96,81,60,72,Frugal Farms,LA,16,140,50,0,10080,0,0,0,0,140,2520,140,2380
10,,0.00,,4.65,0.06,,97,83,61,78,Frugal Farms,LA,16,140,50,0,10920,0,0,0,0,0,2730,0,2730
11,,0.00,,4.50,0.09,10,97,82,63,77,Frugal Farms,LA,16,140,60,0,10780,0,0,0,0,140,2695,140,2555
12,,0.00,,4.35,0.11,,98,83,65,83,Frugal Farms,LA,16,140,60,0,11620,0,0,0,0,0,2905,0,2905
13,,0.00,,4.20,0.14,10,97,82,66,80,Frugal Farms,LA,16,140,70,0,11200,0,0,0,0,140,2800,140,2660
14,,0.00,,4.05,0.16,,97,83,68,83,Frugal Farms,LA,16,140,70,0,11620,0,0,0,0,0,2905,0,2905
15,,0.00,,3.90,0.18,10,97,82,70,90,Frugal Farms,LA,16,140,80,0,12600,0,0,0,0,140,3150,140,3010
16,,0.00,,3.75,0.21,,96,83,71,92,Frugal Farms,LA,16,140,80,0,12880,0,0,0,0,0,3220,0,3220
17,,0.00,,3.60,0.23,10,94,82,73,92,Frugal Farms,LA,16,140,90,0,12880,0,0,0,0,140,3220,140,3080
18,,0.00,,3.45,0.25,,92,82,75,100,Frugal Farms,LA,16,140,90,0,14000,0,0,0,0,0,3500,0,3500
19,,0.00,,3.30,0.26,10,89,81,76,95,Frugal Farms,LA,16,140,100,0,13300,0,0,0,0,140,3325,140,3185
20,,0.00,,3.15,0.27,,86,81,78,90,Frugal Farms,LA,16,140,100,0,12600,0,0,0,0,0,3150,0,3150
21,,0.00,,3.00,0.28,10,83,79,79,87,Frugal Farms,LA,16,140,110,0,12180,0,0,0,0,140,3045,140,2905
22,,0.00,,2.85,0.29,,81,79,81,91,Frugal Farms,LA,16,140,110,0,12740,0,0,0,0,0,3185,0,3185
23,,0.00,,2.70,0.29,10,77,77,82,79,Frugal Farms,LA,16,140,120,0,11060,0,0,0,0,140,2765,140,2625
24,,0.00,,2.55,0.29,,75,77,83,88,Frugal Farms,LA,16,140,120,0,12320,0,0,0,0,0,3080,0,3080
25,,0.00,,2.40,0.29,10,71,75,85,82,Frugal Farms,LA,16,140,130,0,11480,0,0,0,0,140,2870,140,2730
26,,0.00,,2.25,0.28,,68,74,86,77,Frugal Farms,LA,16,140,130,0,10780,0,0,0,0,0,2695,0,2695
27,,0.00,4,6.10,0.27,10,65,72,87,76,Frugal Farms,LA,16,163,140,23,12388,3260,1304,0,0,163,3097,4727,-1630
28,,0.00,,5.95,0.26,,65,74,88,76,Frugal Farms,LA,16,163,140,0,12388,0,0,0,0,0,3097,0,3097
29,,0.00,,5.80,0.25,10,65,73,88,74,Frugal Farms,LA,16,163,150,0,12062,0,0,0,0,163,3015.5,163,2852.5
30,,0.00,,5.65,0.23,,66,75,89,73,Frugal Farms,LA,16,163,150,0,11899,0,0,0,0,0,2974.75,0,2974.75
31,,0.00,,5.50,0.21,10,67,74,89,76,Frugal Farms,LA,16,163,160,0,12388,0,0,0,0,163,3097,163,2934
32,,0.00,,5.35,0.19,,67,76,90,77,Frugal Farms,LA,16,163,160,0,12551,0,0,0,0,0,3137.75,0,3137.75
33,,0.00,,5.20,0.17,10,67,75,90,75,Frugal Farms,LA,16,163,170,0,12225,0,0,0,0,163,3056.25,163,2893.25
34,,0.00,,5.05,0.15,,68,77,90,74,Frugal Farms,LA,16,163,170,0,12062,0,0,0,0,0,3015.5,0,3015.5
35,,0.00,,4.90,0.12,10,68,76,90,80,Frugal Farms,LA,16,163,180,0,13040,0,0,0,0,163,3260,163,3097
36,,0.00,,4.75,0.10,,68,77,89,81,Frugal Farms,LA,16,163,180,0,13203,0,0,0,0,0,3300.75,0,3300.75
37,,0.00,,4.60,0.08,10,68,76,89,73,Frugal Farms,LA,16,163,190,0,11899,0,0,0,0,163,2974.75,163,2811.75
38,,0.00,,4.45,0.07,,69,77,88,78,Frugal Farms,LA,16,174,190,11,13572,0,0,0,0,0,3393,0,3393
39,,0.00,,4.30,0.05,10,69,75,87,81,Frugal Farms,LA,16,174,200,0,14094,0,0,0,0,174,3523.5,174,3349.5
40,,0.00,,4.15,0.04,,69,76,86,79,Frugal Farms,LA,16,174,200,0,13746,0,0,0,0,0,3436.5,0,3436.5
41,,0.00,,4.00,0.03,10,69,75,84,83,Frugal Farms,LA,16,174,210,0,14442,0,0,0,0,174,3610.5,174,3436.5
42,,0.00,,3.85,0.03,,69,75,83,83,Frugal Farms,LA,16,174,210,0,14442,0,0,0,0,0,3610.5,0,3610.5
43,,0.00,,3.70,0.04,10,68,74,81,83,Frugal Farms,LA,16,174,220,0,14442,0,0,0,0,174,3610.5,174,3436.5
44,,0.00,,3.55,0.05,,67,74,78,73,Frugal Farms,LA,16,174,220,0,12702,0,0,0,0,0,3175.5,0,3175.5
45,,0.00,,3.40,0.08,10,67,73,76,81,Frugal Farms,LA,16,222,230,48,17982,0,0,0,0,222,4495.5,222,4273.5
46,,0.00,,3.25,0.11,,66,73,73,75,Frugal Farms,LA,16,222,230,0,16650,0,0,0,0,0,4162.5,0,4162.5
47,,0.00,,3.10,0.15,10,65,71,70,74,Frugal Farms,LA,16,222,240,0,16428,0,0,0,0,222,4107,222,3885
48,,0.00,,2.95,0.21,,64,72,67,65,Frugal Farms,LA,16,222,240,0,14430,0,0,0,0,0,3607.5,0,3607.5
49,,0.00,,2.80,0.28,10,63,70,63,60,Frugal Farms,LA,16,222,250,0,13320,0,0,0,0,222,3330,222,3108
50,,0.00,,2.65,0.36,,63,71,59,53,Frugal Farms,LA,16,258,250,36,13674,0,0,0,0,0,3418.5,0,3418.5
51,,0.00,,2.50,0.47,10,63,69,55,49,Frugal Farms,LA,16,258,260,0,12642,0,0,0,0,258,3160.5,258,2902.5
52,,0.00,,2.35,0.59,,63,70,51,32,Frugal Farms,LA,16,258,260,0,8256,0,0,0,0,0,2064,0,2064
1,1,1,,0.00,0.86,30,75,75,49,40,PowerHouse Plantation,Sacramento,10,20,30,20,800,0,0,100,25,60,200,185,15
2,,0.92,,0.00,0.87,,78,83,50,46,PowerHouse Plantation,Sacramento,10,30,30,10,1380,0,0,0,0,0,345,0,345
3,,0.85,,0.00,0.88,30,80,80,52,49,PowerHouse Plantation,Sacramento,10,70,60,40,3430,0,0,0,0,210,857.5,210,647.5
4,,0.77,,0.00,0.87,,83,85,53,52,PowerHouse Plantation,Sacramento,10,70,60,0,3640,0,0,0,0,0,910,0,910
5,,0.69,,0.00,0.86,30,84,82,54,54,PowerHouse Plantation,Sacramento,10,100,90,30,5400,0,0,0,0,300,1350,300,1050
6,,0.62,,0.00,0.83,,86,87,55,62,PowerHouse Plantation,Sacramento,10,130,90,30,8060,0,0,0,0,0,2015,0,2015
7,,0.54,,0.00,0.81,30,87,84,57,59,PowerHouse Plantation,Sacramento,10,150,120,20,8850,0,0,0,0,450,2212.5,450,1762.5
8,,0.46,,0.00,0.78,,88,89,58,59,PowerHouse Plantation,Sacramento,10,150,120,0,8850,0,0,0,0,0,2212.5,0,2212.5
9,,0.38,,0.00,0.74,30,89,86,60,64,PowerHouse Plantation,Sacramento,10,150,150,0,9600,0,0,0,0,450,2400,450,1950
10,,0.31,,0.00,0.70,,90,91,61,65,PowerHouse Plantation,Sacramento,10,150,150,0,9750,0,0,0,0,0,2437.5,0,2437.5
11,,0.23,,0.00,0.66,30,90,87,63,66,PowerHouse Plantation,Sacramento,10,150,180,0,9900,0,0,0,0,450,2475,450,2025
12,,0.15,,0.00,0.62,,90,92,65,74,PowerHouse Plantation,Sacramento,10,150,180,0,11100,0,0,0,0,0,2775,0,2775
13,,0.08,,0.00,0.57,30,90,89,66,78,PowerHouse Plantation,Sacramento,10,150,210,0,11700,0,0,0,0,450,2925,450,2475
14,1,1.00,,0.00,0.53,,89,93,68,76,PowerHouse Plantation,Sacramento,10,150,210,0,11400,0,0,750,187.5,0,2850,937.5,1912.5
15,,0.92,,0.00,0.48,30,89,89,70,78,PowerHouse Plantation,Sacramento,10,150,240,0,11700,0,0,0,0,450,2925,450,2475
16,,0.85,,0.00,0.43,,88,93,71,82,PowerHouse Plantation,Sacramento,10,150,240,0,12300,0,0,0,0,0,3075,0,3075
17,,0.77,,0.00,0.38,30,87,90,73,86,PowerHouse Plantation,Sacramento,10,150,270,0,12900,0,0,0,0,450,3225,450,2775
18,,0.69,,0.00,0.34,,85,94,75,76,PowerHouse Plantation,Sacramento,10,150,270,0,11400,0,0,0,0,0,2850,0,2850
19,,0.62,,0.00,0.29,30,84,90,76,87,PowerHouse Plantation,Sacramento,10,150,300,0,13050,0,0,0,0,450,3262.5,450,2812.5
20,,0.54,,0.00,0.25,,83,94,78,75,PowerHouse Plantation,Sacramento,10,150,300,0,11250,0,0,0,0,0,2812.5,0,2812.5
21,,0.46,,0.00,0.21,30,82,90,79,83,PowerHouse Plantation,Sacramento,10,150,330,0,12450,0,0,0,0,450,3112.5,450,2662.5
22,,0.38,,0.00,0.17,,81,93,81,90,PowerHouse Plantation,Sacramento,10,150,330,0,13500,0,0,0,0,0,3375,0,3375
23,,0.31,,0.00,0.13,30,79,89,82,86,PowerHouse Plantation,Sacramento,10,150,360,0,12900,0,0,0,0,450,3225,450,2775
24,,0.23,,0.00,0.10,,77,93,83,83,PowerHouse Plantation,Sacramento,10,150,360,0,12450,0,0,0,0,0,3112.5,0,3112.5
25,,0.15,,0.00,0.07,30,76,88,85,74,PowerHouse Plantation,Sacramento,10,150,390,0,11100,0,0,0,0,450,2775,450,2325
26,,0.08,,0.00,0.05,,76,92,86,79,PowerHouse Plantation,Sacramento,10,150,390,0,11850,0,0,0,0,0,2962.5,0,2962.5
27,1,1.00,,0.00,0.03,30,75,87,87,79,PowerHouse Plantation,Sacramento,10,150,420,0,11850,0,0,750,187.5,450,2962.5,1387.5,1575
28,,0.92,,0.00,0.01,,74,91,88,78,PowerHouse Plantation,Sacramento,10,150,420,0,11700,0,0,0,0,0,2925,0,2925
29,,0.85,,0.00,0.00,30,73,86,88,79,PowerHouse Plantation,Sacramento,10,150,450,0,11850,0,0,0,0,450,2962.5,450,2512.5
30,,0.77,,0.00,-0.01,,72,89,89,81,PowerHouse Plantation,Sacramento,10,150,450,0,12150,0,0,0,0,0,3037.5,0,3037.5
31,,0.69,,0.00,-0.01,30,71,85,89,80,PowerHouse Plantation,Sacramento,10,150,480,0,12000,0,0,0,0,450,3000,450,2550
32,,0.62,,0.00,-0.01,,70,88,90,73,PowerHouse Plantation,Sacramento,10,150,480,0,10950,0,0,0,0,0,2737.5,0,2737.5
33,,0.54,,0.00,-0.01,30,70,83,90,71,PowerHouse Plantation,Sacramento,10,150,510,0,10650,0,0,0,0,450,2662.5,450,2212.5
